ID,Licensing Entity Name,License Name,License Description,ISIC Number,Service Name,Ministry Involved,Service Fees,Service Duration,Conditions/Requirements,Service Description,Additional Information
11,Technical and Vocational Training Corporation,Training Facility License,"This service enables the investor to issue, renew and cancel the license of a training facility that provides programs, qualifying courses and developmental courses.",853040- 854954,Issuance of cadres visas,Ministry of Human resources and Social Development,Depending on the visas,14 days ,No data available,Submitting an application for cadres visas.,"This procedure is automated.
This action requires payment.
This procedure requires creating a new account if it does not exist.
This step is not mandatory for issuing the license, but is required to run the activity."
12,Technical and Vocational Training Corporation,Training Facility License,"This service enables the investor to issue, renew and cancel the license of a training facility that provides programs, qualifying courses and developmental courses.",853040- 854954,Commencing activity,No data available,No data available,No data available,No data available,Starting the activity after issuing the license.,No data available
13,Ministry of Education,Licensing language institutes and educational supervision as well as training centers if there is an existing building,"This service enables the investor to provide services for issuing, renewing and canceling the license of language institutes and educational supervision centers, or changing their activities.",855004- 854910- 854960- 854970,Issuance of an investment license for the foreign investor,Ministry of Investment,"2000 SAR/ year
5 years maximum",One day,"• The investment activity shall not be included in the list of activities excluded from foreign investment.
• Product specifications should match the Saudi, GCC  or international specifications.
• Applicant shall not have conclusive rulings against him due to violations of system provisions inside or outside the Kingdom.
• Applicant shall abide by the conditions and regulations attached to the investment license application form.
• Investment objectives shall be achieved and conditions and regulations on license renewal applications shall be implemented. 
• Presence of a license to practice commercial activity in the Kingdom for foreign investors.
• Presence of commercial register and articles of association of the facility in its country, certified by respective entities and Saudi embassy.
• A commercial register or an extract from the civil status as a proof of profession.
• Presence of Articles of association for a limited liability company.
• Presence of the articles of association for a  joint-stock company.
• Presence of the general manager's passport.
• Presence of the national ID and the family card if one of the partners has the Saudi nationality.
• Submission of the partners' decision stating their desire to invest in the Kingdom, indicating the partners' names, the capital, the ownership percentage of each partner, the main office of the facility and the nature of its activity.
• Appointment of a general manager, determining his powers and certifying it by respective entities and the Saudi embassy.
• Provision of initial approval from the relevant ministries or agencies if the activity requires approval.
• Provision of a detailed action plan.
• Submission of a minimum of 3 year budget for the facility requesting a license from outside the Kingdom, showing the soundness of the financial position. The budget must be approved by an accounting office and certified by the concerned body and the Kingdom’s embassy.
• Proof of financial capability to invest, commensurate with the project's capital and each partner's share, in line with the submitted business plan.
• Reservation of a trade name with the Ministry of Commerce.",Issuing an investment license for non-Saudis to practice commercial activities in accordance with the specified conditions and requirements.,"A value of 10,000 SAR will be added to the subscription to the services of the Investor Relations Centers at the Ministry of Investment in the first year, and 60,000 SAR in the following year/years.
This procedure requires creating a new account if it does not exist already.
This procedure is automated.
This procedure requires payment. ."
14,Ministry of Education,Licensing language institutes and educational supervision as well as training centers if there is an existing building,"This service enables the investor to provide services for issuing, renewing and canceling the license of language institutes and educational supervision centers, or changing their activities.",855004- 854910- 854960- 854970,Issuance of a commercial register,Ministry of Commerce,Depending on the entity classification  ,Depending on the entity classification  ,"•Applicant must be 18 years old or above.
•The employee must not be a governmental employee.
•The capital shall not be less than 5000 SAR.
•It is not required to issue a branch register for the same activity, practiced in the same administrative region.
Issuing the main register requires the following:
• Electronically submitting an application to establish the company.
• Submitting a letter signed by the founders establishing the company.
• Presence of a national ID.
Issuing a main register for joint-stock companies requires:
•Minimum capital of 500,000 SAR.
•Presence of the company's articles of association and articles of incorporation.
Issuing a branch register requires:
• Submitting a letter from the company stating the issuance of a company branch, including the city of the branch and the branch manager, attested by the Chamber of Commerce.
• Confirmation of the investor's deposit at the end of the company's fiscal year.","A legal document that contains the investor's data and his activity, enabling him to carry out his activity with an official permit in accordance with the specific conditions and requirements.","This procedure requires creating a new account if it does not exist.
This procedure is automated.
This action requires payment."
15,Ministry of Education,Licensing language institutes and educational supervision as well as training centers if there is an existing building,"This service enables the investor to provide services for issuing, renewing and canceling the license of language institutes and educational supervision centers, or changing their activities.",855004- 854910- 854960- 854970,Registeration with relevant governmental entities ,"Ministry of Human Resources and Social Development
The Zakat, Tax and Customs Entity
Saudi Post | SPL
The General Organization for Social Insurance",Depending on the investor type,Depending on the investor type,Presence of a valid commercial register.,"Establishments and companies shall be automatically registered after issuing the commercial registration at the Ministry of Human Resources and Social Development, ZATCA, the General Organization for Social Insurance, and the Saudi Post.",This step is illustrative and gets activated automatically 
16,Ministry of Education,Licensing language institutes and educational supervision as well as training centers if there is an existing building,"This service enables the investor to provide services for issuing, renewing and canceling the license of language institutes and educational supervision centers, or changing their activities.",855004- 854910- 854960- 854970,Issuance of the initial license,"Ministry of Education
Education Investment Services Center",Free,5 days,"Presence of a commercial register in addition to the activities that need to be licensed.
Applicant must minimum be 25 years old.
Educational qualification must be a bachelor's degree or higher.","Obtaining the initial approval after verifying that the necessary conditions for opening language institutes, educational supervision and training centers are met.","This procedure is automated.
This procedure requires creating a new account if it does not exist."
17,Ministry of Education,Licensing language institutes and educational supervision as well as training centers if there is an existing building,"This service enables the investor to provide services for issuing, renewing and canceling the license of language institutes and educational supervision centers, or changing their activities.",855004- 854910- 854960- 854970,Designation of an engineering office,No data available,Depending on the office,Depending on the office,No data available,Appointment of an approved engineering office to obtain construction and safety plans in accordance with the Saudi code.,This step is illustrative and not mandatory for license issuance.
18,Ministry of Education,Licensing language institutes and educational supervision as well as training centers if there is an existing building,"This service enables the investor to provide services for issuing, renewing and canceling the license of language institutes and educational supervision centers, or changing their activities.",855004- 854910- 854960- 854970,Issuance of a license to practice commercial activity and a safety certificate,"Ministry of Municipal, Rural Affairs and Housing
Civil Defense",Depending on the activity classification + survey fees of 20 SAR,Instant,"A valid commercial register.
A permit from the Civil Defense, if there is an office.
Presence of the articles of association for companies.
Presence of the title deed or the lease contract in the case of an office.
Applicant shall not be prohibited from practicing the activity.
Commitment to fulfilling the conditions of the activity.
Commitment to updating the data in the system.
Applicant shall be able to request the issuance of a license for his shop on his own behalf or on behalf of another, with a copy of the legal agency.
Applicant shall ensure the validity and accuracy of the data entered, bearing in mind that all transactions through the beneficiary's account are binding.
Attached documents shall match the original copies ","Fulfilling all the procedures, conditions and data required to conduct the  activity, and inspecting the site to to ensure it is licensed in accordance with safety conditions and requirements.","This procedure is automated.
This action requires payment.
This procedure requires creating a new account if it does not exist."
19,Ministry of Education,Licensing language institutes and educational supervision as well as training centers if there is an existing building,"This service enables the investor to provide services for issuing, renewing and canceling the license of language institutes and educational supervision centers, or changing their activities.",855004- 854910- 854960- 854970,Adoption of academic curricula,Ministry of Education,5 SAR / page,Undefined,No data available,"Clearing academic curricula and ensuring that they conform to standards, free of any gaps, working to improve the deliverables and amending what is necessary.",This procedure requires payment.
20,Ministry of Education,Licensing language institutes and educational supervision as well as training centers if there is an existing building,"This service enables the investor to provide services for issuing, renewing and canceling the license of language institutes and educational supervision centers, or changing their activities.",855004- 854910- 854960- 854970,Field visit to verify that the readiness is complete,"Ministry of Education
Educational Investment Services Center",Free,"15 days, including studying the license issuance application",No data available," Specialists visit to follow up the progress of work and ensure the level of readiness, in order to ensure quality and achieve the required standards.",This procedure is automated.
21,Ministry of Education,Licensing language institutes and educational supervision as well as training centers if there is an existing building,"This service enables the investor to provide services for issuing, renewing and canceling the license of language institutes and educational supervision centers, or changing their activities.",855004- 854910- 854960- 854970,Registeration with government agencies,"Ministry of Education
Education Investment Services Center",Free,Included in step (8),"Presence of a valid commercial register.
Presence of a license from the Ministry of Investment for the foreign investor.
Presence of a commercial activity license.
Submission of a safety certificate issued by the Civil Defense.",Issuing the final license and starting the commercial activity.,This procedure is automated.
22,Ministry of Education,Licensing language institutes and educational supervision as well as training centers if there is an existing building,"This service enables the investor to provide services for issuing, renewing and canceling the license of language institutes and educational supervision centers, or changing their activities.",855004- 854910- 854960- 854970,Endorsement of cadres visas,Educational Investment Services Center,Free,5 days,No data available,Submitting a request to endorse the granting of visa credits for the recruitment of facility's workers.,"This procedure is automated.
This step is not mandatory for issuing the license, but is required to run the activity."
23,Ministry of Education,Licensing language institutes and educational supervision as well as training centers if there is an existing building,"This service enables the investor to provide services for issuing, renewing and canceling the license of language institutes and educational supervision centers, or changing their activities.",855004- 854910- 854960- 854970,Issuance of cadres visas,Ministry of Human resources and Social Development,Depending on the visas,14 days,No data available,Submitting an application for cadres visas.,"This procedure is automated.
This action requires payment.
This procedure requires creating a new account if it does not exist.
This step is not mandatory for issuing the license, but is required to run the activity."
24,Ministry of Education,Licensing language institutes and educational supervision as well as training centers if there is an existing building,"This service enables the investor to provide services for issuing, renewing and canceling the license of language institutes and educational supervision centers, or changing their activities.",855004- 854910- 854960- 854970,Commencing activity,No data available,No data available,No data available,No data available,Starting the activity after issuing the license.,No data available
25,Ministry of Education,Licensing a private school in the absence of an existing building,"This service enables the investor to provide services for issuing, renewing and canceling the license of private schools, whether with a national or international curriculum, or changing their activities.",851010- 851012- 851021- 851025- 852114- 852131- 852111- 852133- 851022- 851026- 852115- 852132- 852112- 852134,Issuance of an investment license for the foreign investor, Ministry of Investment,"2000 SAR/ year
5 years maximum",One day,"• The investment activity shall not be included in the list of activities excluded from foreign investment.
• Product specifications should match the Saudi, GCC  or international specifications.
• Applicant shall not have conclusive rulings against him due to violations of system provisions inside or outside the Kingdom.
• Applicant shall abide by the conditions and regulations attached to the investment license application form.
• Investment objectives shall be achieved and conditions and regulations on license renewal applications shall be implemented. 
• Presence of a license to practice commercial activity in the Kingdom for foreign investors.
• Presence of commercial register and articles of association of the facility in its country, certified by respective entities and Saudi embassy.
• A commercial register or an extract from the civil status as a proof of profession.
• Presence of Articles of association for a limited liability company.
• Presence of the articles of association for a  joint-stock company.
• Presence of the general manager's passport.
• Presence of the national ID and the family card if one of the partners has the Saudi nationality.
• Submission of the partners' decision stating their desire to invest in the Kingdom, indicating the partners' names, the capital, the ownership percentage of each partner, the main office of the facility and the nature of its activity.
• Appointment of a general manager, determining his powers and certifying it by respective entities and the Saudi embassy.
• Provision of initial approval from the relevant ministries or agencies if the activity requires approval.
• Provision of a detailed action plan.
• Submission of a minimum of 3 year budget for the facility requesting a license from outside the Kingdom, showing the soundness of the financial position. The budget must be approved by an accounting office and certified by the concerned body and the Kingdom’s embassy.
• Proof of financial capability to invest, commensurate with the project's capital and each partner's share, in line with the submitted business plan.
• Reservation of a trade name with the Ministry of Commerce.",Issuing an investment license for non-Saudis to practice commercial activities in accordance with the specified conditions and requirements.,"A value of 10,000 SAR will be added to the subscription to the services of the Investor Relations Centers at the Ministry of Investment in the first year, and 60,000 SAR in the following years/year.
This procedure requires creating a new account if it does not exist.
This procedure is automated.
This procedure requires payment."
26,Ministry of Education,Licensing a private school in the absence of an existing building,"This service enables the investor to provide services for issuing, renewing and canceling the license of private schools, whether with a national or international curriculum, or changing their activities.",851010- 851012- 851021- 851025- 852114- 852131- 852111- 852133- 851022- 851026- 852115- 852132- 852112- 852134,Issuance of a commercial register,Ministry of Commerce,Depending on entity classification,Depending on entity classification,"•Applicant must be 18 years old or above.
•The employee must not be a governmental employee.
•The capital shall not be less than 5000 SAR.
•It is not required to issue a branch register for the same activity, practiced in the same administrative region.
Issuing the main register requires the following:
• Electronically submitting an application to establish the company.
• Submitting a letter signed by the founders establishing the company.
• Presence of a national ID.
Issuing a main register for joint-stock companies requires:
•Minimum capital of 500,000 SAR.
•Presence of the company's articles of association and articles of incorporation.
Issuing a branch register requires:
• Submitting a letter from the company stating the issuance of a company branch, including the city of the branch and the branch manager, attested by the Chamber of Commerce.
• Confirmation of the investor's deposit at the end of the company's fiscal year.","A legal document that contains the investor's data and his activity, enabling him to carry out his activity with an official permit in accordance with the specific conditions and requirements.","This procedure is automated.
This procedure requires payment.
This procedure requires creating a new account if it does not exist.
This step is not mandatory for issuing the license, but is required to run the activity."
27,Ministry of Education,Licensing a private school in the absence of an existing building,"This service enables the investor to provide services for issuing, renewing and canceling the license of private schools, whether with a national or international curriculum, or changing their activities.",851010- 851012- 851021- 851025- 852114- 852131- 852111- 852133- 851022- 851026- 852115- 852132- 852112- 852134,Registeration with relevant governmental entities ,"Ministry of Human Resources and Social Development
The Zakat, Tax and Customs Entity
Saudi Post | SPL
The General Organization for Social Insurance",Depending on the investor type,Depending on the investor type,"
•	وجود سجل تجاري ساري المفعول.","Establishments and companies shall be automatically registered after issuing the commercial registration at the Ministry of Human Resources and Social Development, ZATCA, the General Organization for Social Insurance, and the Saudi Post.",This procedure is illustrative and gets activated automatically
28,Ministry of Education,Licensing a private school in the absence of an existing building,"This service enables the investor to provide services for issuing, renewing and canceling the license of private schools, whether with a national or international curriculum, or changing their activities.",851010- 851012- 851021- 851025- 852114- 852131- 852111- 852133- 851022- 851026- 852115- 852132- 852112- 852134,Issuance of the initial license,"Ministry of Education
Educational Investment Services Center",Free,5 days,"Presence of a commercial register in addition to the activities that need to be licensed.
Applicant must 25 years old at least.
The educational qualification shall not be less than the level required to be opened.
Passing the security survey is required for the opening of international schools.","Obtaining the initial approval after verifying that the necessary conditions for opening a private school, with a national or international curriculum, are met.","This procedure is automated.
This procedure requires creating a new account if it does not exist."
29,Ministry of Education,Licensing a private school in the absence of an existing building,"This service enables the investor to provide services for issuing, renewing and canceling the license of private schools, whether with a national or international curriculum, or changing their activities.",851010- 851012- 851021- 851025- 852114- 852131- 852111- 852133- 851022- 851026- 852115- 852132- 852112- 852134,Site endorsement,"Ministry of Education
Educational Investment Services Center
Ministry of Municipal, Rural Affairs and Housing",Detailed in additional information,Detailed in additional information,No data available,Obtaining the approval of the educational entity and  the planning on site where the school shall be established.,"This procedure requires creating a new account if it does not exist.
This procedure is automated.
This procedure requires payment.
The Fees and duration of  this step shall be determined according to the following:
In the event of selecting a land classified for residential or commercial use by the Ministry of Municipal, Rural Affairs and Housing:
Duration: Immediate.
Fee: according to the classification + survey fees of 20 SAR.
In the event of selecting lands or facilities owned by the Ministry of Education and assigned to Tatweer Investment Company.
Duration: Immediate.
Fee: Free of charge
In the event of choosing a land classified as an educational facility by the Ministry of Municipal, Rural Affairs and Housing.
Duration: 3 days.
Fees: 2000 SAR."
30,Ministry of Education,Licensing a private school in the absence of an existing building,"This service enables the investor to provide services for issuing, renewing and canceling the license of private schools, whether with a national or international curriculum, or changing their activities.",851010- 851012- 851021- 851025- 852114- 852131- 852111- 852133- 851022- 851026- 852115- 852132- 852112- 852134,Designation of an engineering office,No data available,Depending on the office ,Depending on the office ,No data available,Appointment of an approved engineering office to obtain construction and safety plans in accordance with the Saudi code.,This step is illustrative and not mandatory for license issuance.
31,Ministry of Education,Licensing a private school in the absence of an existing building,"This service enables the investor to provide services for issuing, renewing and canceling the license of private schools, whether with a national or international curriculum, or changing their activities.",851010- 851012- 851021- 851025- 852114- 852131- 852111- 852133- 851022- 851026- 852115- 852132- 852112- 852134,Submission of engineering plans for the facility,"Ministry of Education
Educational Investment Services Center","2 SAR / m² of building surfaces
1 SAR / m² of land area",10 days at least,No data available,Approving the engineering plans of the facility by the concerned Entity.,"This procedure is automated.
This action requires payment."
32,Ministry of Education,Licensing a private school in the absence of an existing building,"This service enables the investor to provide services for issuing, renewing and canceling the license of private schools, whether with a national or international curriculum, or changing their activities.",851010- 851012- 851021- 851025- 852114- 852131- 852111- 852133- 851022- 851026- 852115- 852132- 852112- 852134,Issuance of a building permit,"Ministry of Education
Educational Investment Services Center",Depending on the activity classification + survey fees of 20 SAR,Instant,"Presence of an updated electronic deed from the Ministry of Justice, a housing contract, or an investment contract.
Presence of a survey report for the building purpose.
Presence of insurance against hidden defects if required.
Payment of the service fee.
Hiring a designer from an engineering office.
Hiring a supervisor from an engineering office.
Hiring a building contractor.",Obtaining a building permit to carry out construction work.,"This procedure is automated.
This procedure requires payment.
This procedure requires creating a new account if it does not exist.
The engineering office is chosen by Balady platform.
Periodic inspections of construction procedures are carried out by MOMRAH."
33,Ministry of Education,Licensing a private school in the absence of an existing building,"This service enables the investor to provide services for issuing, renewing and canceling the license of private schools, whether with a national or international curriculum, or changing their activities.",851010- 851012- 851021- 851025- 852114- 852131- 852111- 852133- 851022- 851026- 852115- 852132- 852112- 852134,Connecting water and electricity,"National Water Company
Saudi Electricity Company",Depending on the facility,Depending on the service,"Preparation of the meter installation site in accordance with the company's technical requirements, and removal of the cables in accordance with the approved sizes.
Implementation of thermal insulation in accordance with the company's requirements.
Implementation of the grounding system.","Connecting water and electricity services upon 75% completion of the construction work, in accordance with the instructions and specified requirements.","This procedure is automated.
This procedure requires payment"
34,Ministry of Education,Licensing a private school in the absence of an existing building,"This service enables the investor to provide services for issuing, renewing and canceling the license of private schools, whether with a national or international curriculum, or changing their activities.",851010- 851012- 851021- 851025- 852114- 852131- 852111- 852133- 851022- 851026- 852115- 852132- 852112- 852134,Issuance of an occupancy certificate,"Ministry of Municipal, Rural Affairs and Housing",400 SAR + Survey Fee 20 SAR,Instant,"Presence of a building permit.
Payment of the service fee.
Presence of a contract with an engineering office.",Issuing a certificate to authenticate the facilities' compliance with safety requirements and standards.,"This procedure is automated.
This procedure requires payment."
35,Ministry of Education,Licensing a private school in the absence of an existing building,"This service enables the investor to provide services for issuing, renewing and canceling the license of private schools, whether with a national or international curriculum, or changing their activities.",851010- 851012- 851021- 851025- 852114- 852131- 852111- 852133- 851022- 851026- 852115- 852132- 852112- 852134,Field inspection to check the safety of the building,Civil Defense,150 SAR,Undefined,No data available,Ensure the application of safety requirements and adherence to security instructions.,This procedure requires payment.
36,Ministry of Education,Licensing a private school in the absence of an existing building,"This service enables the investor to provide services for issuing, renewing and canceling the license of private schools, whether with a national or international curriculum, or changing their activities.",851010- 851012- 851021- 851025- 852114- 852131- 852111- 852133- 851022- 851026- 852115- 852132- 852112- 852134,Issuance of a license to practice commercial activity and a safety certificate,"Ministry of Municipal, Rural Affairs and Housing
Civil Defense",Depending on the activity classification + survey fees of 20 SAR,5 days,"Presence of a valid commercial register.
Presence of a permit from the Civil Defense, if there is an office.
Presence of articles of association for companies.
Presence of the title deed or the lease contract in the case of an office.
Applicant must not be prohibited from practicing the activity.
Commitment to fulfilling the conditions of the activity.
Commitment to updating the data in the system.
Applicant must be able to request the issuance of a license for his store on his own behalf or on behalf of another, with a copy of the legal agency.
Applicant must ensure the validity and accuracy of the data entered, bearing in mind that all transactions through the beneficiary's account are binding.
Attached documents shall match the original copies.","Fulfilling all the procedures, conditions and data required to conduct the  activity, and inspecting the site to to ensure it is licensed in accordance with safety conditions and requirements.","This procedure is automated.
This procedure requires payment."
37,Ministry of Education,Licensing a private school in the absence of an existing building,"This service enables the investor to provide services for issuing, renewing and canceling the license of private schools, whether with a national or international curriculum, or changing their activities.",851010- 851012- 851021- 851025- 852114- 852131- 852111- 852133- 851022- 851026- 852115- 852132- 852112- 852134,Adoption of academic curricula,"Ministry of Education
Education and Training Evaluation Commision",5 SAR / page,Undefined,No data available,"Clearing the academic curricula, ensuring that they adhere to standards, free from any gaps, working towards improving deliverables and amending what is necessary.",This procedure requires payment.
38,Ministry of Education,Licensing a private school in the absence of an existing building,"This service enables the investor to provide services for issuing, renewing and canceling the license of private schools, whether with a national or international curriculum, or changing their activities.",851010- 851012- 851021- 851025- 852114- 852131- 852111- 852133- 851022- 851026- 852115- 852132- 852112- 852134,Field visit to verify that the readiness is complete,"Ministry of Education
Educational Investment Services Center",Free,"15 days, including studying the license issuance application",No data available,"Specialists visit to follow up with the work progress and ensure the level of readiness, in order to ensure quality and achieve the required standards.",This procedure is automated.
